CODICE PRODOTTO,CODICE OE,CODICI CROSS,BRAND,DESCRIZIONE,LINK IMMAGINE,CATEGORIA,GIACENZA,PREZZO,SCHEDA TECNICA,SCHEDA DI SICUREZZA,CONFEZIONE,QUANTITÀ MINIMA,META.LUNGHEZZA,META.LARGHEZZA,META.PROFONDITA',META. ...
0204054376,,,BOSCH,POMPA FRENO,,Ricambio,1.0,61.9,,,1 pz,1,,,,
0204114193,,,BOSCH,Ganasce p freno a tamburo,,Ricambio,1.0,60.9,,,1 pz,1,,,,
0204131378,,,BOSCH,CORRETTORE FRENATA,,Ricambio,5.0,59.9,,,1 pz,1,,,,
0232103022,,,BOSCH,TRASDUTTORE DI FASE,,Ricambio,3.0,70.9,,,1 pz,1,,,,
0232103036,,,BOSCH,Trasduttore di fase,,Ricambio,1.0,62.9,,,1 pz,1,,,,
0232103046,,,BOSCH,TRASDUTTORE DI FASE,,Ricambio,1.0,23.9,,,1 pz,1,,,,
0232103052,,,BOSCH,TRASDUTTORE DI FASE,,Ricambio,1.0,16.9,,,1 pz,1,,,,
0232103097,,,BOSCH,TRASDUTTORE DI FASE,,Ricambio,1.0,21.9,,,1 pz,1,,,,
0232103107,,,BOSCH,TRASDUTTORE DI FASE,,Ricambio,1.0,29.9,,,1 pz,1,,,,
0241145523,,,BOSCH,CANDELA,,Ricambio,11.0,12.9,,,1 pz,1,,,,
0242135517,,,BOSCH,CANDELA,,Ricambio,14.0,16.9,,,1 pz,1,,,,
0242140514,,,BOSCH,CANDELE ACCENZIONE,,Ricambio,8.0,14.9,,,1 pz,1,,,,
0242240627,,,BOSCH,CANDELA,,Ricambio,13.0,12.9,,,1 pz,1,,,,
0242255543,,,BOSCH,CANDELA,,Ricambio,10.0,26.9,,,1 pz,1,,,,
0250001010,,,BOSCH,CANDELETTA EX 001,,Ricambio,4.0,15.9,,,1 pz,1,,,,
0250001016,,,BOSCH,CANDELETTA MERCEDES (016),,Ricambio,4.0,14.9,,,1 pz,1,,,,
0250201032,,,BOSCH,CANDELETTA EX 021,,Ricambio,7.0,12.9,,,1 pz,1,,,,
0250201034,,,BOSCH,CANDELETTA DURATERM EX 012,,Ricambio,12.0,23.9,,,1 pz,1,,,,
0250201039,,,BOSCH,CANDELETTA FIAT DURATERM,,Ricambio,27.0,13.9,,,1 pz,1,,,,
0250201053,,,BOSCH,CANDELETTA FIAT STRADA,,Ricambio,17.0,15.9,,,1 pz,1,,,,
0250201055,,,BOSCH,CANDELETTA MERCEDES,,Ricambio,10.0,13.9,,,1 pz,1,,,,
0250202002,,,BOSCH,CANDELETTA CROMA 1.9 TD,,Ricambio,10.0,18.9,,,1 pz,1,,,,
0250202007,,,BOSCH,CANDELETTA MAZDA,,Ricambio,12.0,22.9,,,1 pz,1,,,,
0250202020,,,BOSCH,CANDELETTA PEUGEOT/CITROEN,,Ricambio,8.0,13.9,,,1 pz,1,,,,
0250202025,,,BOSCH,CANDELETTA RENAULT/ROVER/HONDA,,Ricambio,4.0,15.9,,,1 pz,1,,,,
0250202038,,,BOSCH,CANDELETTA,,Ricambio,4.0,19.9,,,1 pz,1,,,,
0250202077,,,BOSCH,CANDELETTA,,Ricambio,8.0,21.9,,,1 pz,1,,,,
0250202093,,,BOSCH,CANDELETTA NISSAN TERRANO II,,Ricambio,4.0,19.9,,,1 pz,1,,,,
0250202128,,,BOSCH,CANDELETTA RENAULT MASTER 2.2,,Ricambio,8.0,16.9,,,1 pz,1,,,,
