TecDoc-ID,TecDoc Brand,TecDoc Brand ID,Description,Quantity,Price_Italia,Price_Germany,Brand Type
40460660,AUTOCLIMA,4656,SERIE GUARNIZ.X BITZER 4/6 TFC,1.0,73.9,76.9,AFTERMARKET
40460808,AUTOCLIMA,4656,RUBINETTO MANDATA TK X430,1.0,358.9,361.9,AFTERMARKET
40460809,AUTOCLIMA,4656,RUBINETTO ASPIRAZIONE TK X430,1.0,368.9,371.9,AFTERMARKET
514777002,AUTOCLIMA,4656,FILTRO DEIDRATORE,1.0,18.9,21.9,AFTERMARKET
60652019/1,AUTOCLIMA,4656,FILTRO Dm76 x h200 ORIZZONTALE,1.0,22.9,25.9,AFTERMARKET
60652044,AUTOCLIMA,4656,FILTRO,1.0,19.9,22.9,AFTERMARKET
60652056.1,AUTOCLIMA,4656,FILTRO DEIDR.HANSA HM305 M-M CONO,5.0,37.9,40.9,AFTERMARKET
60652059/1,AUTOCLIMA,4656,FILTRO,3.0,14.9,17.9,AFTERMARKET
60652100/1,AUTOCLIMA,4656,FILTRO MAN (TUTTE VERSIONI),4.0,19.9,22.9,AFTERMARKET
60652101,AUTOCLIMA,4656,FILTRO,4.0,28.9,31.9,AFTERMARKET
60652102,AUTOCLIMA,4656,FILTRO,6.0,19.9,22.9,AFTERMARKET
60652157,AUTOCLIMA,4656,FILTRO,10.0,21.9,24.9,AFTERMARKET
60652172,AUTOCLIMA,4656,FILTRO DEIDRATORE DML 163,10.0,19.9,22.9,AFTERMARKET
60652185,AUTOCLIMA,4656,FILTRO DEIDR. HANSA HM305 M-M,2.0,38.9,41.9,AFTERMARKET
60652193,AUTOCLIMA,4656,CARTUCCIA FILTRO DEIDRAT.FIAT STILO,4.0,20.9,23.9,AFTERMARKET
60652201,AUTOCLIMA,4656,FILTRO,1.0,28.9,31.9,AFTERMARKET
60652202,AUTOCLIMA,4656,FILTRO GAS DO-303/326,1.0,72.9,75.9,AFTERMARKET
60652223,AUTOCLIMA,4656,FILTRO,1.0,43.9,46.9,AFTERMARKET
60652236,AUTOCLIMA,4656,FILTRO DEIDRATORE DML165 5/8-5/8,1.0,20.9,23.9,AFTERMARKET
60652237,AUTOCLIMA,4656,FILTRO DEIDRATORE DML304 1/2-1/2,1.0,26.9,29.9,AFTERMARKET
60652238,AUTOCLIMA,4656,FILTRO DEIDRATORE DML305 5/8-5/8,1.0,27.9,30.9,AFTERMARKET
60652357,AUTOCLIMA,4656,FILTRO DEIDRATORE X MB SPRINTER 906,4.0,19.9,22.9,AFTERMARKET
60652401,AUTOCLIMA,4656,FILTRO,1.0,24.9,27.9,AFTERMARKET
60652411,AUTOCLIMA,4656,FILTRO DEIDRATORE DCL 053FS M-,5.0,18.9,21.9,AFTERMARKET
60652498,AUTOCLIMA,4656,FILTRO DEIDRAT.KONVECTA DM.76XH170,1.0,59.9,62.9,AFTERMARKET
60656103,AUTOCLIMA,4656,PRESSOSTATO L.P. KONVEKTA H11000315,1.0,102.9,105.9,AFTERMARKET
60656143.1R,AUTOCLIMA,4656,PRESSOSTATO L.P. B11-AA2-319 +,1.0,80.9,83.9,AFTERMARKET
E2869003,BERTO,MISSING TECDOC ID,ELETTROVALVOLA,1.0,53.9,56.9,AFTERMARKET
G5550000,BERTO,MISSING TECDOC ID,KIT IMPUGNATURE GIUNTI ISO,2.0,15.9,18.9,AFTERMARKET
1370T ( 500 gr.),BETA,MISSING TECDOC ID,Martello tipo tedesco,2.0,19.9,22.9,AFTERMARKET
1491,BETA,MISSING TECDOC ID,Chiave a nastro,3.0,27.9,30.9,AFTERMARKET
1492/2,BETA,MISSING TECDOC ID,Chiavi x filtri olio 80-110mm/2,1.0,33.9,36.9,AFTERMARKET
1687/s4,BETA,MISSING TECDOC ID,Serie 4 punte di precisione,2.0,21.9,24.9,AFTERMARKET
1712E/3,BETA,MISSING TECDOC ID,Flessibile magnetico,1.0,34.9,37.9,AFTERMARKET
1756B,BETA,MISSING TECDOC ID,Siringa,1.0,17.9,20.9,AFTERMARKET
1759A,BETA,MISSING TECDOC ID,Densimetro x liquido anticongelante,2.0,98.9,101.9,AFTERMARKET
1759HD/3,BETA,MISSING TECDOC ID,Strumenti x controllo tenuta,1.0,288.9,291.9,AFTERMARKET
1838SW,BETA,MISSING TECDOC ID,Lampada snodata ricar.,9.0,55.9,58.9,AFTERMARKET
1895/6,BETA,MISSING TECDOC ID,Vasca Ultrasuoni 6lt,1.0,373.9,376.9,AFTERMARKET
720RNG,BETA,MISSING TECDOC ID,Chiave bussola x dadi ruota Jeep,1.0,17.9,20.9,AFTERMARKET
7241 CK (TG. 42),BETA,MISSING TECDOC ID,Scarpe in pelle idrorepellente,2.0,33.9,36.9,AFTERMARKET
900/55,BETA,MISSING TECDOC ID,"Cricchetto 125 mm 1/4""",4.0,29.9,32.9,AFTERMARKET
920/55,BETA,MISSING TECDOC ID,"Cricchetto da 1/2""",1.0,36.9,39.9,AFTERMARKET
950 (13 mm),BETA,MISSING TECDOC ID,Chiavi a T semplici esag.,1.0,21.9,24.9,AFTERMARKET
20140208260,BF,352,POMPA OLIO,1.0,105.9,108.9,AFTERMARKET
20140208360,BF,352,POMPA OLIO,1.0,100.9,103.9,AFTERMARKET
99207,BICMA,MISSING TECDOC ID,ADESIVO MOTRICE 2PZ RF 565X132MM,4.0,14.9,17.9,AFTERMARKET
BR1432,BIRTH,208,BRACCIO SOSPENSIONE DX,1.0,52.9,55.9,AFTERMARKET
BR1433,BIRTH,208,BRACCIO SOSPENSIONE SX,1.0,52.9,55.9,AFTERMARKET
ADG04234,BLUE PRINT,350,PASTIGLIE,1.0,23.9,26.9,AFTERMARKET
0124525125,BOSCH,30,ALTERNATORE 150A 14V,1.0,185.9,188.9,AFTERMARKET
0124555008,BOSCH,30,ALTERNATORE,1.0,213.9,216.9,AFTERMARKET
0124655102,BOSCH,30,ALTERNATORE,1.0,281.9,284.9,AFTERMARKET
0124655181,BOSCH,30,ALTERNATORE,1.0,275.9,278.9,AFTERMARKET
0132801141,BOSCH,30,SERVOMOTORE,5.0,28.9,31.9,AFTERMARKET
0204054376,BOSCH,30,POMPA FRENO,1.0,61.9,64.9,AFTERMARKET
0204114193,BOSCH,30,Ganasce p freno a tamburo,1.0,60.9,63.9,AFTERMARKET
0204131378,BOSCH,30,CORRETTORE FRENATA,5.0,59.9,62.9,AFTERMARKET
0232103022,BOSCH,30,TRASDUTTORE DI FASE,3.0,70.9,73.9,AFTERMARKET
0232103036,BOSCH,30,Trasduttore di fase,1.0,62.9,65.9,AFTERMARKET
0232103046,BOSCH,30,TRASDUTTORE DI FASE,1.0,23.9,26.9,AFTERMARKET
0232103052,BOSCH,30,TRASDUTTORE DI FASE,1.0,16.9,19.9,AFTERMARKET
0232103097,BOSCH,30,TRASDUTTORE DI FASE,1.0,21.9,24.9,AFTERMARKET
0232103107,BOSCH,30,TRASDUTTORE DI FASE,1.0,29.9,32.9,AFTERMARKET
0241145523,BOSCH,30,CANDELA,11.0,12.9,15.9,AFTERMARKET
0242135517,BOSCH,30,CANDELA,14.0,16.9,19.9,AFTERMARKET
0242140514,BOSCH,30,CANDELE ACCENZIONE,8.0,14.9,17.9,AFTERMARKET
0242240627,BOSCH,30,CANDELA,13.0,12.9,15.9,AFTERMARKET
0242255543,BOSCH,30,CANDELA,10.0,26.9,29.9,AFTERMARKET
0250001010,BOSCH,30,CANDELETTA EX 001,4.0,15.9,18.9,AFTERMARKET
0250001016,BOSCH,30,CANDELETTA MERCEDES (016),4.0,14.9,17.9,AFTERMARKET
0250201032,BOSCH,30,CANDELETTA EX 021,7.0,12.9,15.9,AFTERMARKET
0250201034,BOSCH,30,CANDELETTA DURATERM EX 012,12.0,23.9,26.9,AFTERMARKET
0250201039,BOSCH,30,CANDELETTA FIAT DURATERM,27.0,13.9,16.9,AFTERMARKET
0250201053,BOSCH,30,CANDELETTA FIAT STRADA,17.0,15.9,18.9,AFTERMARKET
0250201055,BOSCH,30,CANDELETTA MERCEDES,10.0,13.9,16.9,AFTERMARKET
0250202002,BOSCH,30,CANDELETTA CROMA 1.9 TD,10.0,18.9,21.9,AFTERMARKET
0250202007,BOSCH,30,CANDELETTA MAZDA,12.0,22.9,25.9,AFTERMARKET
0250202020,BOSCH,30,CANDELETTA PEUGEOT/CITROEN,8.0,13.9,16.9,AFTERMARKET
0250202025,BOSCH,30,CANDELETTA RENAULT/ROVER/HONDA,4.0,15.9,18.9,AFTERMARKET
0250202038,BOSCH,30,CANDELETTA,4.0,19.9,22.9,AFTERMARKET
0250202077,BOSCH,30,CANDELETTA,8.0,21.9,24.9,AFTERMARKET
0250202093,BOSCH,30,CANDELETTA NISSAN TERRANO II,4.0,19.9,22.9,AFTERMARKET
0250202128,BOSCH,30,CANDELETTA RENAULT MASTER 2.2,8.0,16.9,19.9,AFTERMARKET
0250202129,BOSCH,30,CANDELETTA RENAULT 1.9 D,8.0,15.9,18.9,AFTERMARKET
